Variable,Value
latest.programs.cip_4_digit.45.earnings.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.45.earnings.1_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.45.earnings.1_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.45.earnings.1_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.45.earnings.1_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.45.earnings.1_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.45.earnings.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.1_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.1_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.45.earnings.1_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.45.earnings.4_yr.male_median_earnings,
latest.programs.cip_4_digit.45.earnings.4_yr.pell_median_earnings,
latest.programs.cip_4_digit.45.earnings.4_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.45.earnings.4_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.45.earnings.4_yr.overall_median_earnings,
latest.programs.cip_4_digit.45.earnings.4_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.45.earnings.4_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.45.earnings.4_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.45.earnings.4_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.45.earnings.4_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.45.earnings.4_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.4_yr.not_working_not_enrolled.overall_count,0
latest.programs.cip_4_digit.45.earnings.4_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.45.earnings.4_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.45.earnings.5_yr.male_median_earnings,
latest.programs.cip_4_digit.45.earnings.5_yr.pell_median_earnings,
latest.programs.cip_4_digit.45.earnings.5_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.45.earnings.5_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.45.earnings.5_yr.overall_median_earnings,
latest.programs.cip_4_digit.45.earnings.5_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.45.earnings.5_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.45.earnings.5_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.45.earnings.5_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.45.earnings.5_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.45.earnings.5_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.5_yr.not_working_not_enrolled.overall_count,0
latest.programs.cip_4_digit.45.earnings.5_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.45.earnings.5_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.male_median_earnings,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.pell_median_earnings,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.not_enrolled.male_count,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.not_enrolled.pell_count,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.not_enrolled.nonmale_count,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.not_enrolled.nonpell_count,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.overall_median_earnings,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.45.earnings.highest.3_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.highest.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.45.earnings.highest.1_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.45.earnings.highest.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.highest.1_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.highest.2_yr.overall_median_earnings,
latest.programs.cip_4_digit.45.earnings.highest.2_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.45.earnings.highest.2_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.earnings.highest.2_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.45.debt.parent_plus.all.all_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.all.all_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.all.all_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.45.debt.parent_plus.all.eval_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.all.eval_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.all.eval_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.45.debt.parent_plus.male.all_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.male.all_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.male.all_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.male.eval_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.male.eval_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.male.eval_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.pell.all_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.pell.all_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.pell.all_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.45.debt.parent_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.45.debt.parent_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.45.debt.parent_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.all_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.all_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.all_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.eval_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.eval_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.eval_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.male.all_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.male.all_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.male.all_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.male.eval_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.male.eval_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.male.eval_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.pell.all_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.pell.all_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.pell.all_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.45.debt.staff_grad_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.46.code,2401
latest.programs.cip_4_digit.46.title,"Liberal Arts and Sciences, General Studies and Humanities."
latest.programs.cip_4_digit.46.ope6_id,006911
latest.programs.cip_4_digit.46.unit_id,163426
latest.programs.cip_4_digit.46.distance,2
latest.programs.cip_4_digit.46.school.name,Montgomery College
latest.programs.cip_4_digit.46.school.type,Public
latest.programs.cip_4_digit.46.school.main_campus,1
latest.programs.cip_4_digit.46.credential.level,2
latest.programs.cip_4_digit.46.credential.title,Associate's Degree
latest.programs.cip_4_digit.46.counts.ipeds_awards1,1295
latest.programs.cip_4_digit.46.counts.ipeds_awards2,1208
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.count,128
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.default,<=0.10
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.deferment,0.20 - 0.29
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.discharge,<=0.10
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.fullypaid,<=0.10
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.delinquent,<=0.10
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.noprogress,0.10 - 0.19
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.forbearance,0.50 - 0.59
latest.programs.cip_4_digit.46.repayment.1_yr_bb_fed_comp.makingprogress,<=0.10
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.count,116
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.default,<=0.10
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.deferment,0.30 - 0.39
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.discharge,<=0.10
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.fullypaid,<=0.10
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.delinquent,<=0.10
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.noprogress,0.20 - 0.29
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.forbearance,0.20 - 0.29
latest.programs.cip_4_digit.46.repayment.2_yr_bb_fed_comp.makingprogress,0.10 - 0.19
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.count,70
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.default,<=0.20
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.deferment,<=0.20
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.discharge,<=0.20
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.fullypaid,<=0.20
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.delinquent,<=0.20
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.noprogress,<=0.20
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.forbearance,0.40 - 0.59
latest.programs.cip_4_digit.46.repayment.3_yr_bb_fed_comp.makingprogress,<=0.20
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.count,70
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.default,<=0.20
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.deferment,<=0.20
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.discharge,<=0.20
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.fullypaid,<=0.20
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.delinquent,<=0.20
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.noprogress,<=0.20
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.forbearance,0.60 - 0.79
latest.programs.cip_4_digit.46.repayment.4_yr_bb_fed_comp.makingprogress,<=0.20
latest.programs.cip_4_digit.46.earnings.1_yr.male_median_earnings,18835
latest.programs.cip_4_digit.46.earnings.1_yr.pell_median_earnings,
latest.programs.cip_4_digit.46.earnings.1_yr.nonmale_median_earnings,21961
latest.programs.cip_4_digit.46.earnings.1_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.46.earnings.1_yr.overall_median_earnings,20217
latest.programs.cip_4_digit.46.earnings.1_yr.overall_count_more_than_HS_Grad,27
latest.programs.cip_4_digit.46.earnings.1_yr.working_not_enrolled.male_count,24
latest.programs.cip_4_digit.46.earnings.1_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.46.earnings.1_yr.working_not_enrolled.nonmale_count,53
latest.programs.cip_4_digit.46.earnings.1_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.46.earnings.1_yr.working_not_enrolled.overall_count,79
latest.programs.cip_4_digit.46.earnings.1_yr.not_working_not_enrolled.overall_count,19
latest.programs.cip_4_digit.46.earnings.1_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.46.earnings.1_yr.overall_count_working_in_institution_state,73
latest.programs.cip_4_digit.46.earnings.4_yr.male_median_earnings,40774
latest.programs.cip_4_digit.46.earnings.4_yr.pell_median_earnings,39858
latest.programs.cip_4_digit.46.earnings.4_yr.nonmale_median_earnings,41052
latest.programs.cip_4_digit.46.earnings.4_yr.nonpell_median_earnings,43687
latest.programs.cip_4_digit.46.earnings.4_yr.overall_median_earnings,40846
latest.programs.cip_4_digit.46.earnings.4_yr.overall_count_more_than_HS_Grad,176
latest.programs.cip_4_digit.46.earnings.4_yr.working_not_enrolled.male_count,99
latest.programs.cip_4_digit.46.earnings.4_yr.working_not_enrolled.pell_count,244
latest.programs.cip_4_digit.46.earnings.4_yr.working_not_enrolled.nonmale_count,187
latest.programs.cip_4_digit.46.earnings.4_yr.working_not_enrolled.nonpell_count,42
latest.programs.cip_4_digit.46.earnings.4_yr.working_not_enrolled.overall_count,286
latest.programs.cip_4_digit.46.earnings.4_yr.not_working_not_enrolled.overall_count,23
latest.programs.cip_4_digit.46.earnings.4_yr.overall_count_awarded_higher_credential,163
latest.programs.cip_4_digit.46.earnings.4_yr.overall_count_working_in_institution_state,244
latest.programs.cip_4_digit.46.earnings.5_yr.male_median_earnings,48577
latest.programs.cip_4_digit.46.earnings.5_yr.pell_median_earnings,46908
latest.programs.cip_4_digit.46.earnings.5_yr.nonmale_median_earnings,48126
latest.programs.cip_4_digit.46.earnings.5_yr.nonpell_median_earnings,51727
latest.programs.cip_4_digit.46.earnings.5_yr.overall_median_earnings,48247
latest.programs.cip_4_digit.46.earnings.5_yr.overall_count_more_than_HS_Grad,211
latest.programs.cip_4_digit.46.earnings.5_yr.working_not_enrolled.male_count,107
latest.programs.cip_4_digit.46.earnings.5_yr.working_not_enrolled.pell_count,248
latest.programs.cip_4_digit.46.earnings.5_yr.working_not_enrolled.nonmale_count,189
latest.programs.cip_4_digit.46.earnings.5_yr.working_not_enrolled.nonpell_count,48
latest.programs.cip_4_digit.46.earnings.5_yr.working_not_enrolled.overall_count,296
latest.programs.cip_4_digit.46.earnings.5_yr.not_working_not_enrolled.overall_count,30
latest.programs.cip_4_digit.46.earnings.5_yr.overall_count_awarded_higher_credential,181
latest.programs.cip_4_digit.46.earnings.5_yr.overall_count_working_in_institution_state,248
latest.programs.cip_4_digit.46.earnings.highest.3_yr.male_median_earnings,34362
latest.programs.cip_4_digit.46.earnings.highest.3_yr.pell_median_earnings,33651
latest.programs.cip_4_digit.46.earnings.highest.3_yr.nonmale_median_earnings,35503
latest.programs.cip_4_digit.46.earnings.highest.3_yr.nonpell_median_earnings,41846
latest.programs.cip_4_digit.46.earnings.highest.3_yr.not_enrolled.male_count,76
latest.programs.cip_4_digit.46.earnings.highest.3_yr.not_enrolled.pell_count,179
latest.programs.cip_4_digit.46.earnings.highest.3_yr.not_enrolled.nonmale_count,142
latest.programs.cip_4_digit.46.earnings.highest.3_yr.not_enrolled.nonpell_count,38
latest.programs.cip_4_digit.46.earnings.highest.3_yr.not_enrolled.overall_count,218
latest.programs.cip_4_digit.46.earnings.highest.3_yr.overall_median_earnings,34929
latest.programs.cip_4_digit.46.earnings.highest.3_yr.overall_count_over_poverty_line,82
latest.programs.cip_4_digit.46.earnings.highest.3_yr.working_not_enrolled.overall_count,111
latest.programs.cip_4_digit.46.earnings.highest.1_yr.overall_median_earnings,20876
latest.programs.cip_4_digit.46.earnings.highest.1_yr.overall_count_over_poverty_line,47
latest.programs.cip_4_digit.46.earnings.highest.1_yr.working_not_enrolled.overall_count,86
latest.programs.cip_4_digit.46.earnings.highest.1_yr.not_working_not_enrolled.overall_count,16
latest.programs.cip_4_digit.46.earnings.highest.2_yr.overall_median_earnings,21508
latest.programs.cip_4_digit.46.earnings.highest.2_yr.overall_count_over_poverty_line,61
latest.programs.cip_4_digit.46.earnings.highest.2_yr.working_not_enrolled.overall_count,104
latest.programs.cip_4_digit.46.earnings.highest.2_yr.not_working_not_enrolled.overall_count,18
latest.programs.cip_4_digit.46.debt.parent_plus.all.all_inst.count,19
latest.programs.cip_4_digit.46.debt.parent_plus.all.all_inst.median,13695
latest.programs.cip_4_digit.46.debt.parent_plus.all.all_inst.average,14422
latest.programs.cip_4_digit.46.debt.parent_plus.all.all_inst.median_payment,163
latest.programs.cip_4_digit.46.debt.parent_plus.all.eval_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.all.eval_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.all.eval_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.46.debt.parent_plus.male.all_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.male.all_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.male.all_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.male.eval_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.male.eval_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.male.eval_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.pell.all_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.pell.all_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.pell.all_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.46.debt.parent_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.46.debt.parent_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.46.debt.parent_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.all_inst.count,160
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.all_inst.median,9500
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.all_inst.average,12555
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.all_inst.median_payment,101
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.eval_inst.count,118
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.eval_inst.median,9000
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.eval_inst.average,11096
latest.programs.cip_4_digit.46.debt.staff_grad_plus.all.eval_inst.median_payment,95
latest.programs.cip_4_digit.46.debt.staff_grad_plus.male.all_inst.count,64
latest.programs.cip_4_digit.46.debt.staff_grad_plus.male.all_inst.median,8693
latest.programs.cip_4_digit.46.debt.staff_grad_plus.male.all_inst.average,11218
latest.programs.cip_4_digit.46.debt.staff_grad_plus.male.eval_inst.count,41
latest.programs.cip_4_digit.46.debt.staff_grad_plus.male.eval_inst.median,9196
latest.programs.cip_4_digit.46.debt.staff_grad_plus.male.eval_inst.average,11127
latest.programs.cip_4_digit.46.debt.staff_grad_plus.pell.all_inst.count,100
latest.programs.cip_4_digit.46.debt.staff_grad_plus.pell.all_inst.median,10625
latest.programs.cip_4_digit.46.debt.staff_grad_plus.pell.all_inst.average,13578
latest.programs.cip_4_digit.46.debt.staff_grad_plus.pell.eval_inst.count,75
latest.programs.cip_4_digit.46.debt.staff_grad_plus.pell.eval_inst.median,9000
latest.programs.cip_4_digit.46.debt.staff_grad_plus.pell.eval_inst.average,10892
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_male.all_inst.count,96
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_male.all_inst.median,11000
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_male.all_inst.average,13446
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_male.eval_inst.count,77
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_male.eval_inst.median,9000
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_male.eval_inst.average,11079
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_pell.all_inst.count,60
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_pell.all_inst.median,8943
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_pell.all_inst.average,10849
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_pell.eval_inst.count,43
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_pell.eval_inst.median,9000
latest.programs.cip_4_digit.46.debt.staff_grad_plus.not_pell.eval_inst.average,11451
latest.programs.cip_4_digit.47.code,2611
latest.programs.cip_4_digit.47.title,"Biomathematics, Bioinformatics, and Computational Biology."
latest.programs.cip_4_digit.47.ope6_id,006911
latest.programs.cip_4_digit.47.unit_id,163426
latest.programs.cip_4_digit.47.distance,1
latest.programs.cip_4_digit.47.school.name,Montgomery College
latest.programs.cip_4_digit.47.school.type,Public
latest.programs.cip_4_digit.47.school.main_campus,1
latest.programs.cip_4_digit.47.credential.level,2
latest.programs.cip_4_digit.47.credential.title,Associate's Degree
latest.programs.cip_4_digit.47.counts.ipeds_awards1,0
latest.programs.cip_4_digit.47.counts.ipeds_awards2,0
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.47.repayment.1_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.47.repayment.2_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.47.repayment.3_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.47.repayment.4_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.47.earnings.1_yr.male_median_earnings,
latest.programs.cip_4_digit.47.earnings.1_yr.pell_median_earnings,
latest.programs.cip_4_digit.47.earnings.1_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.47.earnings.1_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.47.earnings.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.47.earnings.1_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.47.earnings.1_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.47.earnings.1_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.47.earnings.1_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.47.earnings.1_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.47.earnings.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.47.earnings.1_yr.not_working_not_enrolled.overall_count,
